[2026-03-12 12:30:00,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:30:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:30:09,680][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:30:10,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:30:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:30:19,717][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:30:20,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:30:22,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:30:29,755][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:30:30,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:30:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:30:39,791][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:30:40,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:30:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:30:49,830][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:30:50,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:30:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:30:59,867][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:31:00,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:31:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:31:09,904][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:31:10,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:31:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:31:19,940][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:31:20,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:31:22,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:31:29,977][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:31:30,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:31:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:31:40,013][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:31:40,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:31:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:31:50,049][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:31:50,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:31:52,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:32:00,085][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:32:00,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:32:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:32:10,124][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:32:10,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:32:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:32:20,167][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:32:20,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:32:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:32:30,209][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:32:30,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:32:32,474][Drone 3][INFO][State Vector] - State Vector sent
